TotalValueToCoral	TotalValueToAlgae	ValueToCoralPlayer	ValueToAlgaePlayer	sheet	card_count	base_card_filename	jpg	full_card_filename	@background	Fishing_Value	@fishnet	Title	ScientificName	@Image	@type_icon	@old_type_icon	Rarity	Deck	Set	Type	Taxon_Type	@Recruit1	@Recruit2	@Recruit3	EventTitle	EventText	EventTitle2	EventText2	EventTitle3	EventText3	Abilty1Notes	Ability1_asterisk	Ability1	@Ability1_effect_icon1	@Ability1_effect_icon2	@Ability1_effect_icon3	Ability2_asterisk	Ability2	Ability2_text	Ability3_asterisk	Ability3	Ability3_text	Growth_plus	Growth	Size	Resistance	Photo Credit	Icon Credit	Notes	DietNotes	ModelSpecies	Source	Size_cm	log2_size	@overlay
0	0								card_border_11_Universal_Event.ai			Oil Spill		deepwater_horizon_USCG.jpg	hurricane_icon.ai		Uncommon	Event	Basic	Event		village.png	village.png	village.png	Oil and Dispersants:	"damage (3) all cards on the reef, except algae."																					US Coast Guard Photo (Public Domain)	Game Icons.net							
12	4	3	1	4	4	card9	.jpg	card9.jpg	card_border_11_Universal_Event.ai	 		Corals Spawn!		coral_spawning.jpg	hurricane_icon.ai		Uncommon	Event	Basic	Event		acropora_icon_simpler.ai				Draw 1 Coral card for each of your corals with the 'Spawner' ability. 		 		Draw 2 Coral cards for each with the 'Fecund Spawner' ability.																	"Art: Emma Hickerson, NOAA/NOS (Public Domain)"	Game Icons.net							
4	1	2	0.5	4	2	card10	.jpg	card10.jpg	card_border_11_Universal_Event.ai	 		Reef Research		reef_research.jpg	hurricane_icon.ai		Uncommon	Event	Basic	Event					Sampling: 	Damage any card on the reef (1).	Science:	Draw an event card.	Outreach:	Add an Awareness counter to the island.  																	"Art:  Rory Welsh. Courtesty Deron Burkepile, Project HERBVRE"	Game Icons.net							
3	1	1.5	0.5	6	2	card11	.jpg	card11.jpg	card_border_11_Universal_Event.ai	 		Tourism		Snorkel-xel-ha.jpg	hurricane_icon.ai		Uncommon	Event	Basic	Event					Growth:	Add a village to the island. 	Education:	Add an Awareness counter. 	Damage: 	Damage any card on the reef (1).																	"Photo: By Angelique800326 (Own work) CC BY-SA 3.0 or GFDL, via Wikimedia Commons"	Game Icons.net							
1.5	0.5	1.5	0.5		1		.jpg		card_border_11_Universal_Event.ai	 		Development Lobby		development_lobby.jpg	hurricane_icon.ai		Uncommon	Event	Basic	Event					Lobbying:	you may play Events that require a village without using an action.		This stays in play off the reef.																			Photo:  U.S. Fish and Wildlife Service Southeast Region via Wikimedia Commons (CC-A 2.0 generic)	Game Icons.net							
1	1	1	1		1				card_border_11_Universal_Event.ai	 		Election!		election.jpg	hurricane_icon.ai		Uncommon	Event	Basic	Event					Policy:	Add or remove an Awareness counter from the island	Draw:	Draw an event card.																			"Photo: Nick Sherman, Flickr (CC BY-NC-SA 2.0)"	Game Icons.net							
1.5	0.5	1.5	0.5		1		.jpg		card_border_11_Universal_Event.ai	 		Coastal Erosion		coastal_erosion.jpg	hurricane_icon.ai		Uncommon	Event	Basic	Event						"At the end of each of your turns, remove a village from the island if there are no corals in play."		This stays in play off the reef.																			Photo:  U.S. Fish and Wildlife Service Southeast Region via Wikimedia Commons (CC-A 2.0 generic)	Game Icons.net							
1.5	0.5	1.5	0.5		1		.jpg		card_border_11_Universal_Event.ai	 		Local Activism		local_conservation_group.jpg	hurricane_icon.ai		Uncommon	Event	Basic	Event					Activism:	you may play Events that require Awareness without using an action.		This stays in play off the reef.																			Photo:  U.S. Fish and Wildlife Service Southeast Region via Wikimedia Commons (CC-A 2.0 generic)	Game Icons.net							
0	3	0	1	8	3	card12	.jpg	card12.jpg	card_border_11_Universal_Event.ai	 		Population Growth		population_growth.png	hurricane_icon.ai		Uncommon	Event	Caribbean	Event							Growth:	Add a village to the island. 	Draw:	Draw an Event card.																	"Art: Alejandra Quintero Sinisterra, Wikipedia Commons"	Game Icons.net				"hhttps://commons.wikimedia.org/wiki/File:Assistant_Field_Supervisors,_Marisel_Lopez_and_Marelisa_Rivera_recognizing_the_Puerto_Rico_Center_for_Manatee_Conservation,_directed_by_Dr._Antonio_Mignucci._(5755467463).jpg"			
0	3	0	1	12	3	card13	.jpg	card13.jpg	card_border_11_Universal_Event.ai	 		Coal Plant		global_warming.jpg	hurricane_icon.ai		Uncommon	Event	Basic	Event					Climate change:	Add a Global Warming counter to the island. 	Draw:	Draw an Event card.																			"Art: Wikipedia Commons, Wknight94"	Game Icons.net							
6	6	2	2	13	3	card14	.jpg	card14.jpg	card_border_11_Universal_Event.ai	 		Hurricane		hurricane.jpg	hurricane_icon.ai		Uncommon	Event	Basic	Event					Disturbance:	Damage all corals and algae (2).  	Intensification:	Deal 2 extra damage per Global Warming counter.  																			Art: NOAA NESDIS Environmental Visualization Laboratory.	Game Icons.net							
0	0				1	card65	.jpg	card65.jpg	card_border_11_Universal_Event.ai			Sewage Outflow		sewage_outflow.jpg	hurricane_icon.ai		Uncommon	Event	Basic	Event		village.png	village.png		Pathogens:	"Once per turn, you may add a pathogen or opportunist microbe to a coral without using an action."		This stays in play off the reef.																			Art: Steve Spring | Marine Photobank (CC-BY 2.0)	Game Icons.net							
1	2	1	2	2	1	card64	.jpg	card64.jpg	card_border_11_Universal_Event.ai	 		Port Dredging		port_dredging.jpg	hurricane_icon.ai		Uncommon	Event	Basic	Event		village.png	village.png		Dredge: 	"pick a sand patch. Destroy any organisms on it, then switch it for rocky bottom."	Sedimentation:	all corals nearby the sand patch take 1 damage.																			Art: Saving Atlantis/ Global Coral Microbiome Project	Game Icons.net							
3	6	1	2	2	3	card15	.jpg	card15.jpg	card_border_11_Universal_Event.ai	 		Fishing Fleet		fishing_fleet.jpg	hurricane_icon.ai		Uncommon	Event	Basic	Event		village.png			Fishing pressure:	"Once per turn, damage (1) a reef creature with economic value ($)."		This stays in play off the reef until a hurricane is played.																			Art: Saving Atlantis/ Global Coral Microbiome Project	Game Icons.net							
1.5	2	0.75	1	7	2	card16	.jpg	card16.jpg	card_border_11_Universal_Event.ai	 		Vibrio Infection		vibrio_cholerae.jpg	hurricane_icon.ai		Uncommon	Event	Holobiont	Event  -  Disease		thermometer-hot.png			Infection:	Destroy a reef creature that lost biomass this turn.  	Draw:	Draw a card.																			Art: AJ Cann 	Game Icons.net			Event -- Disease			thermometer-hot.png	
6	6	2	2	11	3	card17	.jpg	card17.jpg	card_border_11_Universal_Event.ai	 		Disease Outbreak		black_band_disease.jpg	hurricane_icon.ai	bacteria_icon.ai	Uncommon	Event	Basic	Event  -  Disease					Infection:	Damage (3) a card in play on the reef .  	Transmission:	Also damage(3) all nearby cards of the same type.																			Art: Ryan McMinds/GCMP	Game Icons.net					0.0001	-13	
1	0	1	0	6	1	card18	.jpg	card18.jpg	card_border_11_Universal_Event.ai	 		Global Climate Accord		climate_accord.jpg	hurricane_icon.ai		Uncommon	Event	Basic	Event - Policy		earth-america.png	earth-america.png	earth-america.png	Emission reductions:	Greenhouse Gas Emissions' events cannot be played. Remove them all from the Event deck and shuffle it.  This stays in play off the reef.																					Art: U.S. Department of State (Public Domain)	Game Icons.net				https://commons.wikimedia.org/wiki/File:Secretary_Kerry_Holds_Granddaughter_Dobbs-Higginson_on_Lap_While_Signing_COP21_Climate_Change_Agreement_at_UN_General_Assembly_Hall_in_New_York_(26512345421).jpg			
4	0	2	0	6	2	card19	.jpg	card19.jpg	card_border_11_Universal_Event.ai	 		Marine Protected Area		marine_protected_area.jpg	hurricane_icon.ai		Uncommon	Event	Basic	Event - Policy		earth-america.png	earth-america.png		Conservation:	"Remove all Fishing Fleet events from the reef. More cannot be played. This stays in play off the reef. If Awareness falls below 2, discard it."																					Art: freeaussiestock.com	Game Icons.net				https://www.flickr.com/photos/usoceangov/23830466031/in/dateposted/			
6	0	3	0	6	2	card20	.jpg	card20.jpg	card_border_11_Universal_Event.ai	 		Coral Nursury		coral_nursury.jpg	hurricane_icon.ai		Uncommon	Event	Basic	Event - Policy		earth-america.png	earth-america.png		Coral replanting:	"Each turn, you may settle one coral without using an action. "		This stays in play off the reef until a hurricane is played.																			Art: NOAA National Ocean Service (public domain) 	Game Icons.net				http://freeaussiestock.com/free/Victoria/Wilsons%20Promontory/slides/marine-park_sign.jpg			
2	0	2	0	6	1	card21	.jpg	card21.jpg	card_border_11_Universal_Event.ai	 		Take Restrictions		marine_protected_area.jpg	hurricane_icon.ai		Uncommon	Event	Basic	Event - Policy		earth-america.png			Conservation:	"Fishing fleet events no longer damage sharks, mammals, turtles, or herbivorous fish. This stays in play off the reef."																					Art: freeaussiestock.com	Game Icons.net				https://www.flickr.com/photos/usoceangov/23830466031/in/dateposted/			
0	0.75	0	0.75	7	1	card22	.jpg	card22.jpg	card_border_11_Universal_Zooplankton.ai	$	fishnet.png	Batwing Coral Crab	Carpilius corallinus	batwing_coral_crab.jpg	crab.png		Uncommon	Zooplankton	Shells_Spines_and_Venom	Arthropod	Family Carpiliidae	pelagic.ai	acropora_icon_simpler.ai									*	Eats	spiral-shell.png	urchin_icon.ai			Detritivore:	"when something dies nearby, this grows "				+	1	3		Art:  James St. John 	Game Icons.net		mollusks and urchins	Crustacean		10	3	
2	2.5	1	1.25	11	2	card23	.jpg	card23.jpg	card_border_11_Universal_Zooplankton.ai	$	fishnet.png	Spiny Lobster	Panulirus interruptus	spiny_lobster.jpg	crab.png		Uncommon	Zooplankton	Shells_Spines_and_Venom	Arthropod	Family Palinuridae	pelagic.ai	acropora_icon_simpler.ai									*	Eats	crab.png	spiral-shell.png	urchin_icon.ai							+	1	5		"Art: Panulirus argus, Wikimedia Commons, user Pendrosanch, CC-SA 3.0"	Game Icons.net		"Eats small crabs, urchins and snails"	Crustacean		45	5	
0.5	0.25	0.5	0.25	7	1	card24	.jpg	card24.jpg	card_border_11_Universal_Zooplankton_alt_trophy.ai	 		Copepod Swarm		copepod.jpg	crab.png		Uncommon	Zooplankton	Shells_Spines_and_Venom	Arthropod	Subclass Copepoda	pelagic.ai									(Eat 1 of the top 3 Microbe cards)	*	Planktivore					Detritivore:	"when something dies nearby, this grows "				+	2	5		"Photo:Uwe Kils, Wikimedia Commons, CC-SA "	Game Icons.net			Crustacean		0.01	-7	
3	0	1.5	0	11	2	card25	.jpg	card25.jpg	card_border_11_Universal_Zooplankton.ai	 		Mithrax Crab	Mithrax sp.	mithrax.jpg	crab.png		Common	Zooplankton	Shells_Spines_and_Venom	Arthropod	Family  Mithracidae	pelagic.ai										*	Eats	macroalgae-icon-white.ai				Detritivore:	"when something dies nearby, this grows "		Slow moving: 	Can only eat nearby	+	1	5		"Art: Nick Hobgood, Wikimedia Commons, CC-SA 3.0"	Game Icons.net			Crustacean		25	5	
0.75	1	0.75	1	11	1	card26	.jpg	card26.jpg	card_border_11_Universal_Zooplankton.ai	 		Rainbow Mantis Shrimp	Pseudosquilla ciliata	pseudosquilla.jpg	crab.png		Uncommon	Zooplankton	Shells_Spines_and_Venom	Arthropod 	Order Stomatopoda	pelagic.ai										*	Eats	surgeonfish_icon-01.png	annelid_worm.ai	crab.png		Hypersonic Spears:	deals double its biomass in damage when eating				+	1	3		Art: Shumpei Maruyama (2008)/ Wikipedia Commons CC SA 3.0 	Game Icons.net			Crustacean 		9.5		
0	1.5	0	0.75	12	2	card27	.jpg	card27.jpg	card_border_11_Universal_Zooplankton_alt_trophy.ai	 		Anilocra	Anilocra	anilocra2.jpg	crab.png		Uncommon	Zooplankton	Shells_Spines_and_Venom	Arthropod - Parasite	Family Cymothoidae	pelagic.ai	surgeonfish_icon-01.png								(see below)		Fish Parasite				*	Parasitism:	"damage all nearby fish (1), then grow once per damaged fish."		Fast-growing:	you can spend an action to develop this the turn you settle it.	+	1	4		Art: Stefano Guerrieri (Etrusko25) via Wikimedia Commons	Game Icons.net			Crustacean 			0	
0.5	1	0.5	1	6	1	card28	.jpg	card28.jpg	card_border_11_Universal_Zooplankton_alt_trophy.ai	 		Gnathia Marleyi	Gnathia Marleyi	gnathia_marleyi.jpg	crab.png		Uncommon	Zooplankton	Basic	Arthropod - Parasite	Family  Gnathiidae	pelagic.ai	surgeonfish_icon-01.png								(see below)		Fish Parasite				*	Parasitism:	"damage all nearby fish (1), then grow once per damaged fish."		Fast-growing:	you can spend an action to develop this the turn you settle it.	+	1	7		"Art: Wikipedia, Ann Marie Coile, 2011 (CC-SA 3.0)"	Game Icons.net						0	
0	0.25	0	0.25	10	1	card29	.jpg	card29.jpg	card_border_11_Universal_Zooplankton.ai	 		White-Spotted Octopus	Callistoctopus macropus	octopus_macropus_cropped.jpg	octopus.png		Uncommon	Zooplankton	Shells_Spines_and_Venom	Cephalopod	Family Octopodidae	pelagic.ai	acropora_icon_simpler.ai									*	Eats	crab.png	surgeonfish_icon-01.png			"Camouflage, Tentacles & Nerve Toxin:"	ignores prey defense when it eats				+	1	7		"Art: Wikimedia, Yoruno (CC-BY 3.0)"	Game Icons.net			Cephalopod		150	7	
1.5	2.25	0.5	0.75	5	3	card30	.jpg	card30.jpg	card_border_11_Universal_Zooplankton.ai	 		Threespot Damselfish	Stegastes planifrons	Cocoa_damselfish_USGS_public_domain_photographer_uncredited_by_source.jpg	surgeonfish_icon-01.png		Common	Zooplankton	Basic	Fish  -  Herbivore	Family Pomacentridae	pelagic.ai	acropora_icon_simpler.ai									*	Eats	macroalgae-icon-white.ai			*	Wound Gardens:	damage a nearby coral (1). Nearby algae grow.		Territorial:	Other creatures can't eat nearby corals or algae	+	2	3		"Art: reef 1735, NOAA Coral Kingdom Collection, CCMA Biogeography Team"	Game Icons.net	"Bites coral to produce lesions. Chases away parrotfish, bluehead wrasse, bicolor damselfish.  "	"Filamentous algae, Red Macroalgae"	Stegastes planifrons	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4651503/pdf/pone.0141302.pdf, Wikipedia"	10	3	
4.5	0	1.5	0	4	3	card31	.jpg	card31.jpg	card_border_11_Universal_Zooplankton.ai	$	fishnet.png	Ocean Surgeonfish	Acanthurus bahianus	Acanthurus_bahianus.jpg	surgeonfish_icon-01.png		Common	Zooplankton	Basic	Fish  -  Herbivore	Family Acanthuridae	pelagic.ai										*	Eats	macroalgae-icon-white.ai									+	2	5		"Art: D Ross Robertson, Smithsonian Institute"	Game Icons.net	"Eats Kallymenia (red), Haloplegma(red)"	Red Macroalgae	Ocean Surgeonfish		38	5	
7.5	0	1.5	0	1	5	card32	.jpg	card32.jpg	card_border_11_Universal_Zooplankton.ai	$	fishnet.png	Stoplight Parrotfish	Sparisoma viride	stoplight_parrotfish3.jpg	surgeonfish_icon-01.png		Common	Zooplankton	Basic	Fish  -  Herbivore	Family Scaridae	pelagic.ai										*	Eats	macroalgae-icon-white.ai	acropora_icon_simpler.ai			Mucus Bubble: 	unaffected by parasitism				+	2	6		Art:  James St. John 	Game Icons.net		"Macroalgae, corals"	terminal stoplight parrotfish		46	6	
3	1	1.5	0.5	8	2	card33	.jpg	card33.jpg	card_border_11_Universal_Zooplankton.ai	 		Bluehead Wrasse	Thalassoma bifasciatum	bluehead_wrasse.jpg	surgeonfish_icon-01.png	Thalassoma bifasciatum	Common	Zooplankton	Shells_Spines_and_Venom	Fish  -  Invertivore	Family Labridae	pelagic.ai										*	Eats	crab.png	spiral-shell.png	annelid_worm.ai	*	Cleaner:	nearby fish aren't affected by parasitism				+	1	2		Art:  James St. John 	Game Icons.net		"Zooplankton, Small crustaceans, Small mollusks. Fish Parasites"	Fish --Mesopredator		1.1	0	
1.5	3.75	0.5	1.25	10	3	card34	.jpg	card34.jpg	card_border_11_Universal_Zooplankton_Shield.ai	 		Foureye Butterflyfish	Chaetodon capistratus	foureye_butterflyfish3.psd	red_hind_icon.png		Common	Zooplankton	Shells_Spines_and_Venom	Fish  -  Invertivore	Family Chaetodontidae	pelagic.ai										*	Eats	crab.png	acropora_icon_simpler.ai								+	1	4	1	"Art: LASZLO ILYES (laszlo-photo), Wikipedia Commons CC-BY 2.0"	Game Icons.net		Eats invertebrates and krill	Fish -- Invertivore		20	4	
0.6	0.6	0.3	0.3	10	2	card35	.jpg	card35.jpg	card_border_11_Universal_Zooplankton.ai	 		French Grunt	Haemulon flavolineatum	french_grunt.jpg	red_hind_icon.png		Common	Zooplankton	Shells_Spines_and_Venom	Fish  -  Invertivore	Family Haemulidae	pelagic.ai										*	Eats	crab.png	annelid_worm.ai								+	1	4		"Art: reef1581, NOAA's Coral Kingdom Collection; Dr. Dwayne Meadows, NOAA/NMFS/OPR"	Game Icons.net			Fish -- Invertivore		17	4	
0	1.5	0	1.5	6	1	card36	.jpg	card36.jpg	card_border_11_Universal_Zooplankton_Shield.ai	 		Invasive Red Lionfish	Pterois volitans	scorpionfish.jpg	red_hind_icon.png		Uncommon	Zooplankton	Basic	Fish  -  Mesopredator	Family Scorpaenidae	pelagic.ai	village.png	village.png								*	Eats	surgeonfish_icon-01.png			*	Voracious:  	eat two different fish. Grow each time. (This uses only one action).				+	1	5	3	"Art: Joe Pollock, Global Coral Microbiome Project"	Game Icons.net	Image may be a different scorpionfish from Lord Howe; not eaten by most fish.  Can be eater by large predators like sharks and morays and tiger grouper	small fish		http://www.sciencemag.org/news/2010/04/invasive-lionfish-attacks-reefs-and-fish-scientists-scramble	40	5	
0	1.5	0	0.75	5	2	card37	.jpg	card37.jpg	card_border_11_Universal_Zooplankton.ai	$	fishnet.png	Red Hind	Epinephelus guttatus	red_hind.jpg	red_hind_icon.png		Uncommon	Zooplankton	Basic	Fish  -  Mesopredator	Family Serranidae	pelagic.ai										*	Eats	crab.png	surgeonfish_icon-01.png	octopus.png							+	2	5		"Art: reef1959, NOAA's Coral Kingdom Collection; NOAA CCMA Biogeography Team"	Game Icons.net	"Eats crabs, other crustaceans, fish, and octopus"		Red Hind	http://www.scrfa.org/about-aggregations/aggregating-species/red-hind.html	40	5	
1.5	0.3	0.75	0.15	5	2	card38	.jpg	card38.jpg	card_border_11_Universal_Zooplankton.ai	$	fishnet.png	Sergeant Major	Abudefduf saxatilis	sergeant_major.jpg	red_hind_icon.png		Common	Zooplankton	Basic	Fish  -  Mesopredator	Family Pomacentridae	pelagic.ai										*	Eats	surgeonfish_icon-01.png	crab.png	 macroalgae-icon-white.ai	*	Zooplanktivore:	"Look at the top 3 Zooplankton cards, and eat 1 (discard it). Place the other 2 back in any order. This grows. "				+	1	5		"Art: reef 1735, NOAA Coral Kingdom Collection, CCMA Biogeography Team"	Game Icons.net		"Wikipedia: This fish feed upon the larvae of invertebrates, zooplankton, smaller fish, crustaceans, and various species of algae."	Sergeant Major Damselfish	Wikipedia	23	5	
0.75	3	0.25	1	11	3	card39	.jpg	card39.jpg	card_border_11_Universal_Zooplankton.ai	$	fishnet.png	Queen Triggerfish	Balistes vestula	queen_triggerfish.jpg	red_hind_icon.png		Uncommon	Zooplankton	Shells_Spines_and_Venom	Fish  -  Mesopredator	Family Balistidae	pelagic.ai										*	Eats	urchin_icon.ai	crab.png	annelid_worm.ai							+	1	5		Art:  James St. John 	Game Icons.net		"Studies in fishbase make it sound like its about 75% urchins, and small percentages crabs, worms, shrimp etc"			45	5	
1.5	1.5	0.75	0.75	5	2	card40	.jpg	card40.jpg	card_border_11_Universal_Zooplankton.ai	$	fishnet.png	Yellowtail Snapper	Ocyurus chrysurus	yellowtail_snapper.jpg	red_hind_icon.png		Common	Zooplankton	Basic	Fish  -  Mesopredator	Family Lutjanidae	pelagic.ai										*	Eats	crab.png	annelid_worm.ai	surgeonfish_icon-01.png							+	1	6		"Art: Transity, Wikimedia Commons, CC-BYA 3.0, "	Game Icons.net		"Eats crabs, shrimp, worms, and smaller fish"	Yellowtail Snapper		60	6	
0.5	0.75	0.5	0.75	13	1	card41	.jpg	card41.jpg	card_border_11_Universal_Zooplankton.ai	$	fishnet.png	Great Barricuda	Sphyraena barracuda	barracuda_with_prey.jpg	red_hind_icon.png		Uncommon	Zooplankton	Basic	Fish  -  Mesopredator	Family  Sphyraenidae	pelagic.ai										*	Eats	surgeonfish_icon-01.png	octopus.png								+	1	7		"Photo: reef2567, NOAA's Coral Kingdom Collection; Florida Keys Marine Sanctuary Staff"	Game Icons.net	Green Moray				170	7	
0.75	0.75	0.75	0.75	13	1	card42	.jpg	card42.jpg	card_border_11_Universal_Zooplankton_Shield.ai	 		Green Moray	Gymnothorax funebris	moray_eel.jpg	red_hind_icon.png		Uncommon	Zooplankton	Basic	Fish  -  Mesopredator	Family Muraenidae	pelagic.ai										*	Eats	surgeonfish_icon-01.png	crab.png	octopus.png		Slender: 	Ignores any defense bonus granted to its prey by coral				+	1	8	1	"Photo:_reef2568, NOAA's Coral Kingdom Collection; Florida Keys National Marine Sanctuary__"	Game Icons.net	"Eats Fish, Crustaceans, Squid and Octopus"				244	8	
0	6	0	2	10	3	card43	.jpg	card43.jpg	card_border_11_Universal_Zooplankton.ai	 		Coral Snail	Coralliophila caribaea	coralliophila.jpg	spiral-shell.png		Uncommon	Zooplankton	Shells_Spines_and_Venom	Gastropod	Family Muricidae	pelagic.ai	acropora_icon_simpler.ai									*	Eats	acropora_icon_simpler.ai				Slow moving: 	Can only eat nearby				+	1	2		Art: Modified from NOAA SEFSC	Game Icons.net			Mollusc		3	2	
1.25	0.5	1.25	0.5	8	1	card45	.jpg	card45.jpg	card_border_11_Universal_Zooplankton.ai	 		Nudibranch	Flabellina engeli lucianae	flabellina_nudibranch.jpg	spiral-shell.png		Uncommon	Zooplankton	Shells_Spines_and_Venom	Gastropod	Family Flabellinidae	pelagic.ai										*	Eats	macroalgae-icon-white.ai	marine_sponge.ai	acropora_icon_simpler.ai		Slow moving: 	Can only eat nearby				+	1	4		"Art: Bernard Picton, Wikimedia Commons, CC-SA 4.0"	Game Icons.net			Mollusc		14	4	
1.25	1	1.25	1	13	1	card46	.jpg	card46.jpg	card_border_11_Universal_Zooplankton.ai	$	fishnet.png	Bottlenose Dolphin	Tursiops truncatus	bottlenose_dolphins.jpg	dolphin.png		Uncommon	Zooplankton	Sponges	Mammal	Family Delphinidae	pelagic.ai										*	Eats	surgeonfish_icon-01.png	crab.png	octopus.png		Charismatic:	"when you play this, add an Awareness counter to the island"		Viviparous:	takes a free 'eat' action when it is played. 	+	1	8		Photo: Jeff Kraus/Flickr (non-commercial SA)		Sphyraena barracuda				250	8	
